"dep","dur","mem","jour","temp","prec","pointe"
2021-05-14 08:12:45,619,0,"vendredi",17.8,0,1
2021-05-14 06:13:39,3824,0,"vendredi",17.8,0,1
2021-05-28 07:18:18,1318,0,"vendredi",7.8,0,1
2021-05-21 09:23:54,1409,0,"vendredi",25.3,0,1
2021-05-14 09:07:06,338,0,"vendredi",17.8,0,1
2021-05-21 21:32:12,697,0,"vendredi",25.3,0,3
2021-05-14 12:38:12,1996,0,"vendredi",17.8,0,3
2021-05-21 21:09:35,954,0,"vendredi",25.3,0,3
2021-05-21 19:08:17,529,0,"vendredi",25.3,0,3
2021-05-14 21:09:14,1649,0,"vendredi",17.8,0,3
2021-05-28 18:14:05,744,0,"vendredi",7.8,0,2
2021-05-21 17:20:46,905,0,"vendredi",25.3,0,2
2021-05-14 15:58:03,973,0,"vendredi",17.8,0,2
2021-05-07 18:50:58,278,0,"vendredi",9.7,0,2
2021-05-14 15:48:25,886,0,"vendredi",17.8,0,2
2021-06-11 07:59:09,952,0,"vendredi",19.7,0.2,1
2021-06-25 08:12:56,664,0,"vendredi",22.2,0,1
2021-06-18 09:56:29,410,0,"vendredi",21.2,4.8,1
2021-06-11 08:30:50,1123,0,"vendredi",19.7,0.2,1
2021-06-18 08:42:37,508,0,"vendredi",21.2,4.8,1
2021-06-04 01:18:34,356,0,"vendredi",22,0,3
2021-06-11 21:29:14,459,0,"vendredi",19.7,0.2,3
2021-06-25 11:58:44,163,0,"vendredi",22.2,0,3
2021-06-25 14:57:40,1324,0,"vendredi",22.2,0,3
2021-06-18 10:54:17,694,0,"vendredi",21.2,4.8,3
2021-06-11 18:10:27,773,0,"vendredi",19.7,0.2,2
2021-06-11 15:26:42,1147,0,"vendredi",19.7,0.2,2
2021-06-25 18:21:18,4566,0,"vendredi",22.2,0,2
2021-06-11 15:58:00,704,0,"vendredi",19.7,0.2,2
2021-06-25 16:14:17,545,0,"vendredi",22.2,0,2
2021-07-09 07:30:01,190,0,"vendredi",18.1,0,1
2021-07-23 07:46:40,1292,0,"vendredi",21,0,1
2021-07-30 09:12:25,574,0,"vendredi",16.5,0,1
2021-07-30 06:34:47,125,0,"vendredi",16.5,0,1
2021-07-09 08:57:44,527,0,"vendredi",18.1,0,1
2021-07-02 13:29:19,732,0,"vendredi",17.6,0,3
2021-07-02 12:56:59,548,0,"vendredi",17.6,0,3
2021-07-30 12:05:39,524,0,"vendredi",16.5,0,3
2021-07-23 23:10:28,688,0,"vendredi",21,0,3
2021-07-09 03:32:31,908,0,"vendredi",18.1,0,3
2021-07-02 15:39:44,550,0,"vendredi",17.6,0,2
2021-07-09 17:26:37,611,0,"vendredi",18.1,0,2
2021-07-23 18:33:20,1212,0,"vendredi",21,0,2
2021-07-16 17:16:57,462,0,"vendredi",22,0,2
2021-07-09 18:44:25,1959,0,"vendredi",18.1,0,2
2021-08-13 07:49:48,828,0,"vendredi",27,0.2,1
2021-08-20 09:27:12,513,0,"vendredi",25.9,0,1
2021-08-13 08:36:07,1748,0,"vendredi",27,0.2,1
2021-08-20 08:44:23,610,0,"vendredi",25.9,0,1
2021-08-13 07:52:09,4676,0,"vendredi",27,0.2,1
2021-08-13 23:10:47,430,0,"vendredi",27,0.2,3
2021-08-06 11:06:32,2133,0,"vendredi",25.1,0.2,3
2021-08-27 20:03:35,535,0,"vendredi",21.2,0,3
2021-08-13 03:21:22,464,0,"vendredi",27,0.2,3
2021-08-27 23:48:46,1219,0,"vendredi",21.2,0,3
2021-08-13 17:21:42,740,0,"vendredi",27,0.2,2
2021-08-13 15:03:16,1124,0,"vendredi",27,0.2,2
2021-08-20 18:05:58,94,0,"vendredi",25.9,0,2
2021-08-27 16:37:00,1036,0,"vendredi",21.2,0,2
2021-08-06 18:24:24,715,0,"vendredi",25.1,0.2,2
2021-09-24 08:19:23,294,0,"vendredi",18.3,26.5,1
2021-09-24 08:12:17,855,0,"vendredi",18.3,26.5,1
2021-09-17 09:42:49,980,0,"vendredi",19.8,0,1
2021-09-24 07:38:55,1292,0,"vendredi",18.3,26.5,1
2021-09-17 06:31:34,1160,0,"vendredi",19.8,0,1
2021-09-10 21:02:25,929,0,"vendredi",17.1,0.3,3
2021-09-10 12:46:05,1308,0,"vendredi",17.1,0.3,3
2021-09-03 04:24:40,902,0,"vendredi",18,0,3
2021-09-03 13:31:51,4293,0,"vendredi",18,0,3
2021-09-17 21:19:01,695,0,"vendredi",19.8,0,3
2021-09-03 18:24:34,843,0,"vendredi",18,0,2
2021-09-03 17:30:02,856,0,"vendredi",18,0,2
2021-09-03 16:58:30,3715,0,"vendredi",18,0,2
2021-09-17 15:31:08,1672,0,"vendredi",19.8,0,2
2021-09-24 17:45:00,1554,0,"vendredi",18.3,26.5,2
2021-10-29 09:18:51,384,0,"vendredi",7.8,0,1
2021-10-15 08:37:31,598,0,"vendredi",18.4,0,1
2021-10-15 09:50:59,389,0,"vendredi",18.4,0,1
2021-10-15 07:35:41,862,0,"vendredi",18.4,0,1
2021-10-01 08:03:43,311,0,"vendredi",12.5,0,1
2021-10-15 20:14:40,234,0,"vendredi",18.4,0,3
2021-10-08 13:19:07,2271,0,"vendredi",15.4,0,3
2021-10-01 00:28:12,735,0,"vendredi",12.5,0,3
2021-10-08 22:29:23,191,0,"vendredi",15.4,0,3
2021-10-08 01:16:10,868,0,"vendredi",15.4,0,3
2021-10-01 18:18:22,1185,0,"vendredi",12.5,0,2
