"dep","dur","mem","jour","temp","prec","pointe"
2021-05-14 09:09:08,717,0,"vendredi",17.8,0,1
2021-05-14 08:57:04,781,0,"vendredi",17.8,0,1
2021-05-14 08:32:09,645,0,"vendredi",17.8,0,1
2021-05-21 08:20:13,960,0,"vendredi",25.3,0,1
2021-05-28 07:18:38,5748,0,"vendredi",7.8,0,1
2021-05-28 23:09:20,1830,0,"vendredi",7.8,0,3
2021-05-21 21:13:24,728,0,"vendredi",25.3,0,3
2021-05-21 20:54:34,497,0,"vendredi",25.3,0,3
2021-05-21 11:47:41,1462,0,"vendredi",25.3,0,3
2021-05-28 21:00:31,740,0,"vendredi",7.8,0,3
2021-05-14 15:06:15,1850,0,"vendredi",17.8,0,2
2021-05-07 18:00:40,2173,0,"vendredi",9.7,0,2
2021-05-21 15:17:50,2464,0,"vendredi",25.3,0,2
2021-05-07 17:14:21,1405,0,"vendredi",9.7,0,2
2021-05-14 16:00:14,420,0,"vendredi",17.8,0,2
2021-06-11 09:29:17,465,0,"vendredi",19.7,0.2,1
2021-06-04 09:31:04,803,0,"vendredi",22,0,1
2021-06-11 09:17:30,640,0,"vendredi",19.7,0.2,1
2021-06-25 09:40:07,1013,0,"vendredi",22.2,0,1
2021-06-18 07:51:05,552,0,"vendredi",21.2,4.8,1
2021-06-11 14:42:20,3823,0,"vendredi",19.7,0.2,3
2021-06-18 19:43:58,368,0,"vendredi",21.2,4.8,3
2021-06-18 14:23:37,600,0,"vendredi",21.2,4.8,3
2021-06-25 04:29:00,883,0,"vendredi",22.2,0,3
2021-06-18 01:25:13,594,0,"vendredi",21.2,4.8,3
2021-06-25 18:08:03,398,0,"vendredi",22.2,0,2
2021-06-04 18:08:20,622,0,"vendredi",22,0,2
2021-06-04 15:05:42,783,0,"vendredi",22,0,2
2021-06-25 18:32:35,431,0,"vendredi",22.2,0,2
2021-06-11 17:43:53,915,0,"vendredi",19.7,0.2,2
2021-07-02 07:01:21,631,0,"vendredi",17.6,0,1
2021-07-02 09:51:51,420,0,"vendredi",17.6,0,1
2021-07-09 08:56:20,694,0,"vendredi",18.1,0,1
2021-07-30 08:24:31,275,0,"vendredi",16.5,0,1
2021-07-02 09:08:00,682,0,"vendredi",17.6,0,1
2021-07-02 23:06:44,928,0,"vendredi",17.6,0,3
2021-07-09 00:29:06,441,0,"vendredi",18.1,0,3
2021-07-16 23:18:01,302,0,"vendredi",22,0,3
2021-07-09 20:58:25,728,0,"vendredi",18.1,0,3
2021-07-30 13:36:09,490,0,"vendredi",16.5,0,3
2021-07-23 18:09:56,821,0,"vendredi",21,0,2
2021-07-30 18:43:15,578,0,"vendredi",16.5,0,2
2021-07-02 18:10:53,1275,0,"vendredi",17.6,0,2
2021-07-02 17:28:48,991,0,"vendredi",17.6,0,2
2021-07-16 17:52:23,1267,0,"vendredi",22,0,2
2021-08-20 09:01:36,546,0,"vendredi",25.9,0,1
