"dep","dur","mem","jour","temp","prec","pointe"
2021-10-15 18:55:24,664,0,"vendredi",18.4,0,2
2021-10-29 17:46:13,1412,0,"vendredi",7.8,0,2
2021-10-08 18:52:12,705,0,"vendredi",15.4,0,2
2021-05-03 07:49:31,1240,0,"lundi",7.6,0,1
2021-05-03 08:02:00,711,0,"lundi",7.6,0,1
2021-05-24 09:06:18,597,0,"lundi",14.4,0,1
2021-05-03 07:40:08,657,0,"lundi",7.6,0,1
2021-05-24 08:41:00,1472,0,"lundi",14.4,0,1
2021-05-31 13:47:26,491,0,"lundi",15.7,0,3
2021-05-31 19:19:38,1649,0,"lundi",15.7,0,3
2021-05-31 11:21:23,565,0,"lundi",15.7,0,3
2021-05-10 21:10:52,899,0,"lundi",11.4,0,3
2021-05-10 12:52:29,2149,0,"lundi",11.4,0,3
2021-05-10 17:59:40,1682,0,"lundi",11.4,0,2
2021-05-31 17:24:07,778,0,"lundi",15.7,0,2
2021-05-17 18:19:49,689,0,"lundi",17.9,0.2,2
2021-05-24 17:06:05,5528,0,"lundi",14.4,0,2
2021-05-10 15:08:44,3062,0,"lundi",11.4,0,2
2021-06-21 09:05:44,441,0,"lundi",24.1,2.9,1
2021-06-21 07:32:15,569,0,"lundi",24.1,2.9,1
2021-06-28 06:30:51,93,0,"lundi",27,2.3,1
2021-06-21 08:44:35,1451,0,"lundi",24.1,2.9,1
2021-06-28 09:21:08,413,0,"lundi",27,2.3,1
2021-06-28 20:47:19,682,0,"lundi",27,2.3,3
2021-06-28 20:09:23,807,0,"lundi",27,2.3,3
2021-06-28 19:18:54,215,0,"lundi",27,2.3,3
2021-06-07 20:43:46,1023,0,"lundi",27.6,0,3
2021-06-28 22:10:04,386,0,"lundi",27,2.3,3
2021-06-14 18:43:29,144,0,"lundi",20.6,7.8,2
2021-06-28 18:23:49,740,0,"lundi",27,2.3,2
2021-06-21 17:38:37,415,0,"lundi",24.1,2.9,2
2021-06-21 17:01:02,617,0,"lundi",24.1,2.9,2
2021-06-28 17:19:39,1344,0,"lundi",27,2.3,2
2021-07-19 08:32:18,1030,0,"lundi",23.3,0,1
2021-07-05 09:41:52,615,0,"lundi",20.2,0,1
2021-07-26 08:49:56,1459,0,"lundi",23.5,0,1
2021-07-05 09:01:15,226,0,"lundi",20.2,0,1
2021-07-05 06:43:59,370,0,"lundi",20.2,0,1
2021-07-12 10:55:04,665,0,"lundi",23.1,0,3
2021-07-05 12:36:42,188,0,"lundi",20.2,0,3
2021-07-26 23:18:09,2707,0,"lundi",23.5,0,3
2021-07-05 02:13:44,1182,0,"lundi",20.2,0,3
2021-07-05 22:43:42,2251,0,"lundi",20.2,0,3
2021-07-26 15:27:47,1642,0,"lundi",23.5,0,2
2021-07-05 15:20:54,621,0,"lundi",20.2,0,2
2021-07-26 18:06:28,1944,0,"lundi",23.5,0,2
2021-07-05 16:04:41,619,0,"lundi",20.2,0,2
2021-07-26 15:55:48,805,0,"lundi",23.5,0,2
2021-08-16 08:38:22,673,0,"lundi",19.5,0,1
2021-08-16 09:05:13,994,0,"lundi",19.5,0,1
2021-08-16 08:03:34,620,0,"lundi",19.5,0,1
2021-08-02 09:26:46,697,0,"lundi",18.8,0,1
2021-08-30 08:30:10,754,0,"lundi",24.8,5.3,1
2021-08-02 21:29:04,1083,0,"lundi",18.8,0,3
2021-08-23 10:13:41,1358,0,"lundi",26.7,0,3
2021-08-30 22:55:45,1081,0,"lundi",24.8,5.3,3
2021-08-02 20:19:02,1514,0,"lundi",18.8,0,3
2021-08-23 13:12:26,701,0,"lundi",26.7,0,3
2021-08-02 17:23:34,2263,0,"lundi",18.8,0,2
2021-08-02 17:17:26,1185,0,"lundi",18.8,0,2
2021-08-16 18:59:28,475,0,"lundi",19.5,0,2
2021-08-30 18:47:00,753,0,"lundi",24.8,5.3,2
2021-08-30 18:56:18,616,0,"lundi",24.8,5.3,2
2021-09-06 08:58:58,491,0,"lundi",17.4,6.3,1
2021-09-27 08:31:28,778,0,"lundi",13.6,3.1,1
2021-09-27 08:58:52,447,0,"lundi",13.6,3.1,1
