"dep","dur","mem","jour","temp","prec","pointe"
2021-10-08 16:35:30,485,0,"vendredi",15.4,0,2
2021-10-29 18:58:53,1093,0,"vendredi",7.8,0,2
2021-10-08 16:59:20,853,0,"vendredi",15.4,0,2
2021-05-24 08:18:55,2608,0,"lundi",14.4,0,1
2021-05-24 09:03:50,541,0,"lundi",14.4,0,1
2021-05-17 09:20:48,3243,0,"lundi",17.9,0.2,1
2021-05-03 07:48:06,1372,0,"lundi",7.6,0,1
2021-05-31 07:47:27,1669,0,"lundi",15.7,0,1
2021-05-31 20:17:48,80,0,"lundi",15.7,0,3
2021-05-17 11:26:57,1471,0,"lundi",17.9,0.2,3
2021-05-31 13:54:00,1050,0,"lundi",15.7,0,3
2021-05-24 13:51:13,650,0,"lundi",14.4,0,3
2021-05-17 21:39:09,730,0,"lundi",17.9,0.2,3
2021-05-17 16:30:31,1626,0,"lundi",17.9,0.2,2
2021-05-17 16:53:19,2899,0,"lundi",17.9,0.2,2
2021-05-10 17:40:51,1064,0,"lundi",11.4,0,2
2021-05-31 15:12:49,400,0,"lundi",15.7,0,2
2021-05-17 18:14:57,1076,0,"lundi",17.9,0.2,2
2021-06-07 08:28:46,667,0,"lundi",27.6,0,1
2021-06-07 09:30:22,1804,0,"lundi",27.6,0,1
2021-06-28 09:22:46,617,0,"lundi",27,2.3,1
2021-06-21 09:33:39,655,0,"lundi",24.1,2.9,1
2021-06-21 08:59:23,734,0,"lundi",24.1,2.9,1
2021-06-28 00:37:23,2400,0,"lundi",27,2.3,3
2021-06-28 22:34:16,560,0,"lundi",27,2.3,3
2021-06-07 19:54:34,1753,0,"lundi",27.6,0,3
2021-06-21 22:04:41,637,0,"lundi",24.1,2.9,3
2021-06-21 02:38:00,1302,0,"lundi",24.1,2.9,3
2021-06-21 17:09:31,1411,0,"lundi",24.1,2.9,2
2021-06-14 18:42:35,752,0,"lundi",20.6,7.8,2
2021-06-21 18:51:24,6649,0,"lundi",24.1,2.9,2
2021-06-28 17:42:44,1600,0,"lundi",27,2.3,2
2021-06-28 17:47:37,520,0,"lundi",27,2.3,2
2021-07-26 08:24:52,525,0,"lundi",23.5,0,1
2021-07-05 08:51:05,843,0,"lundi",20.2,0,1
2021-07-05 08:48:12,417,0,"lundi",20.2,0,1
2021-07-12 09:21:54,1227,0,"lundi",23.1,0,1
2021-07-26 08:36:55,322,0,"lundi",23.5,0,1
2021-07-05 19:25:26,738,0,"lundi",20.2,0,3
2021-07-19 20:23:09,582,0,"lundi",23.3,0,3
2021-07-19 20:51:19,933,0,"lundi",23.3,0,3
2021-07-12 13:20:22,2831,0,"lundi",23.1,0,3
2021-07-19 13:01:04,2254,0,"lundi",23.3,0,3
2021-07-12 18:54:32,740,0,"lundi",23.1,0,2
2021-07-26 15:12:28,1564,0,"lundi",23.5,0,2
2021-07-12 17:46:10,468,0,"lundi",23.1,0,2
2021-07-05 15:34:16,1312,0,"lundi",20.2,0,2
2021-07-19 16:00:50,284,0,"lundi",23.3,0,2
2021-08-02 07:38:14,1029,0,"lundi",18.8,0,1
2021-08-16 09:05:13,994,0,"lundi",19.5,0,1
2021-08-02 09:35:31,468,0,"lundi",18.8,0,1
2021-08-16 06:38:18,961,0,"lundi",19.5,0,1
2021-08-16 08:55:04,1240,0,"lundi",19.5,0,1
2021-08-09 22:36:27,242,0,"lundi",25.2,0.2,3
2021-08-30 13:41:35,602,0,"lundi",24.8,5.3,3
2021-08-23 13:53:15,5969,0,"lundi",26.7,0,3
2021-08-02 11:20:03,403,0,"lundi",18.8,0,3
2021-08-09 01:57:03,1650,0,"lundi",25.2,0.2,3
2021-08-16 16:39:50,1491,0,"lundi",19.5,0,2
2021-08-30 16:52:27,652,0,"lundi",24.8,5.3,2
2021-08-23 18:49:45,749,0,"lundi",26.7,0,2
2021-08-30 16:51:52,413,0,"lundi",24.8,5.3,2
2021-08-16 16:27:39,3913,0,"lundi",19.5,0,2
2021-09-13 07:44:00,423,0,"lundi",17.3,0.2,1
2021-09-20 07:56:39,203,0,"lundi",17.3,0,1
2021-09-27 09:44:44,467,0,"lundi",13.6,3.1,1
2021-09-20 06:36:52,781,0,"lundi",17.3,0,1
2021-09-13 09:44:59,1252,0,"lundi",17.3,0.2,1
2021-09-13 14:26:42,1431,0,"lundi",17.3,0.2,3
2021-09-20 13:50:00,535,0,"lundi",17.3,0,3
2021-09-27 21:54:31,506,0,"lundi",13.6,3.1,3
2021-09-20 20:14:45,803,0,"lundi",17.3,0,3
2021-09-06 20:49:58,691,0,"lundi",17.4,6.3,3
2021-09-13 17:47:28,616,0,"lundi",17.3,0.2,2
2021-09-13 18:55:07,1015,0,"lundi",17.3,0.2,2
2021-09-20 18:03:16,410,0,"lundi",17.3,0,2
2021-09-27 16:07:11,700,0,"lundi",13.6,3.1,2
2021-09-20 18:55:11,868,0,"lundi",17.3,0,2
2021-10-11 07:27:25,305,0,"lundi",18.4,0,1
